X Y
 0.510106 -0.218987
 1.15942 -0.231004
 -0.0237237 -0.292126
 -0.0667447 -0.216119
 -0.0879921 -0.159356
 -0.093094 -0.113852
 -0.0888103 -0.0822327
 0.0746128 -0.0926291
 0.0988102 -0.118392
 0.166303 -0.162936
 0.296716 -0.210445
 0.564084 -0.255079
 1.46655 -0.317731
 -0.0305832 -0.31359
 -0.0753859 -0.22929
 -0.0969388 -0.167179
 -0.101042 -0.117493
 -0.0946809 -0.0826575
 0.0732597 -0.0971983
 0.0980887 -0.125326
 0.170398 -0.176393
 0.31538 -0.234853
 0.63455 -0.302136
 2.02765 -0.47602
 -0.038727 -0.338657
 -0.0853153 -0.244207
 -0.107006 -0.17581
 -0.10982 -0.121359
 -0.100954 -0.0829334
 0.0715559 -0.101814
 0.0970883 -0.132678
 0.174962 -0.191608
 0.337838 -0.264158
 0.729728 -0.365548
 3.36348 -0.852418
 -0.0484294 -0.36811
 -0.0967269 -0.261145
 -0.118319 -0.185356
 -0.119498 -0.12549
 -0.107639 -0.0830702
 0.0694958 -0.10641
 0.0958105 -0.140445
 0.180134 -0.208888
 0.365305 -0.299818
 0.864535 -0.455075
 10.5131 -2.86489
 -0.0646311 -0.392689
 -0.112033 -0.274017
 -0.131619 -0.191048
 -0.129443 -0.126143
 -0.113701 -0.0808862
 0.0675293 -0.112114
 0.0980958 -0.152909
 0.195441 -0.235082
 0.422045 -0.353833
 1.16962 -0.624174
 -0.0788384 -0.432496
 -0.127176 -0.295282
 -0.145793 -0.20233
 -0.140985 -0.130608
 -0.120998 -0.0805733
 0.0647223 -0.116493
 0.0965871 -0.162203
 0.203652 -0.25928
 0.471191 -0.413738
 1.59198 -0.89008
 -0.100705 -0.466454
 -0.146652 -0.311619
 -0.161945 -0.209002
 -0.152419 -0.131012
 -0.127112 -0.0776254
 0.062163 -0.12219
 0.0996709 -0.17809
 0.22626 -0.297633
 0.575745 -0.514323
 3.12569 -1.76567
 -0.121895 -0.521988
 -0.166833 -0.338729
 -0.179706 -0.222559
